SNPID,Position,Disease/Trait name,P value,PMID,Chr
rs1000040,25750941,Type 2 diabetes,0.0003,23209189,15
rs1000075,95166832,Diabetic retinopathy in Type 2 diabetes mellitus,0.000889,23562823,1
rs1000152,109687288,Type 2 diabetes,0.00025299999999999997,17463246,9
rs10002719,104467267,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,0.00088,21150874,4
rs10003686,182122202,Type 2 diabetes,3.28e-05,17463246,4
rs10004231,42857573,Type 2 diabetes,0.00047999999999999996,22158537,4
rs10004744,82925416,Type 2 diabetes,0.000371,17463246,4
rs10004873,112581256,Type 2 diabetes,0.000125,17463246,4
rs10005129,46747094,Type 2 diabetes,0.0008320000000000001,17463246,4
rs10005846,174275513,Diabetic retinopathy in Type 2 diabetes mellitus,0.000772,23562823,4
rs1000607,93772001,Type 2 diabetes,0.000737,22158537,1
rs10007143,28101628,Type 2 diabetes,0.000331,17463246,4
rs10008727,65451712,Type 2 diabetes,0.000121,17463246,4
rs10008727,65451712,Type 2 diabetes,0.000121,17463246,4
rs1000874,69307703,Type 2 diabetes,0.000363,22158537,7
rs1000874,69307703,Type 2 diabetes,0.000868,22158537,7
rs10008858,43891003,Diabetic retinopathy in Type 2 diabetes mellitus,0.001,23562823,4
rs10009198,100465028,Waist circumference in Type 2 diabetes,0.00040899999999999997,17463246,4
rs10009198,100465028,Type 2 diabetes,0.00041,17463246,4
rs10009198,100465028,Weight in Type 2 diabetes,0.000519,17463246,4
rs10010131,6292915,Type 2 diabetes in lean individuals (BMI<25 Kg/m2),5e-05,22693455,4
rs10010131,6292915,Nonobese type 2 diabetes,0.0001,19056611,4
rs10010958,147511918,"Type 2 diabetes, combined control dataset, gender differentiated",4.77e-05,17554300,4
rs10011158,95056300,Type 2 diabetes,0.000831,17463246,4
rs10011158,95056300,Type 2 diabetes,0.000831,17463246,4
rs10012087,151474920,Type 2 diabetes,0.000349,17463246,4
rs10012274,10981163,Diabetic retinopathy in Type 2 diabetes mellitus,3.96e-05,23562823,4
rs10012432,72920831,Type 2 diabetes,0.001,22158537,4
rs10012946,6293350,Type 2 diabetes,0.0001,23209189,4
rs10012946,6293350,Type 2 diabetes,0.0005549999999999999,23300278,4
rs1001381,94319184,Type 2 diabetes,0.00020899999999999998,17463246,14
rs1001381,94319184,Waist hip ratio in Type 2 diabetes,0.00020899999999999998,17463246,14
rs1001381,94319184,Waist circumference in Type 2 diabetes,0.000327,17463246,14
rs10014562,168619280,Type 2 diabetes,0.000449,17463246,4
rs10014713,167816995,Type 2 diabetes,0.000449,17463246,4
rs10014722,54588017,Type 2 diabetes,0.0009539999999999999,17463246,4
rs10014722,54588017,Height in Type 2 diabetes cases,0.0009539999999999999,17463246,4
rs10015295,97807290,"Type 2 diabetes, combined control dataset",0.0003,17554300,4
rs10015350,18475906,Diabetic retinopathy in Type 2 diabetes mellitus,0.0009140000000000001,23562823,4
rs10015378,178736851,Type 2 diabetes,0.000857,17463246,4
rs10015779,92982606,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,0.000256,21150874,4
rs10016578,18066346,Type 2 diabetes,0.000667,17463246,4
rs10017970,157655677,"Type 2 diabetes, combined control dataset",0.000763,17554300,4
rs10017978,7135255,Type 2 diabetes,0.000437,17463246,4
rs10018310,90587691,Type 2 diabetes,0.00054,20862305,4
rs10019305,70719533,Height in Type 2 diabetes cases,0.00021400000000000002,17463246,4
rs10019305,70719533,Type 2 diabetes,0.00021400000000000002,17463246,4
rs10019370,182538514,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.000324,17554300,4
rs10020796,153519781,Type 2 diabetes,0.00014,22158537,4
rs10020796,153519781,Type 2 diabetes,0.000212,22158537,4
rs10021011,153410390,Type 2 diabetes,6.74e-05,22158537,4
