LncRNAID,Gene alias,Transcript alias,Chr,SNPID,Disease/Trait name
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs6451212,Type 2 diabetes
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs6451212,Type 2 diabetes
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs6895801,Type 2 diabetes
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs6895801,Type 2 diabetes
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs7736028,Type 2 diabetes
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs7736028,Type 2 diabetes
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs4130605,Type 2 diabetes
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs4130605,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs6743119,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs6743119,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs6743119,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs935672,Waist hip ratio in Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs935672,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs935672,Waist hip ratio in Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs935672,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs935672,Waist hip ratio in Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs935672,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs10865208,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs10865208,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs10865208,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs10865208,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs10865208,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs878812,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs878812,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs878812,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs878812,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs13036100,"Type 2 diabetes, combined control dataset"
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs13036100,"Type 2 diabetes, combined control dataset"
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs6743119,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs6743119,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs6743119,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs935672,Waist hip ratio in Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs935672,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs935672,Waist hip ratio in Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs935672,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs935672,Waist hip ratio in Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs935672,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs10865208,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs10865208,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs10865208,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs10865208,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs10865208,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11919688,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11919688,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11919688,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11129025,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11129025,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11129025,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11129025,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11129025,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11129025,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11129025,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11129025,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3843879,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3843879,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3843879,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3843879,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3843879,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3843879,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3860587,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3860587,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3860587,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3860587,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3860587,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs3860587,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9810237,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9810237,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9810237,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9810237,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9810237,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9810237,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9810237,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9810237,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12487689,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12487689,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12487689,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12489919,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12489919,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12489919,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12489919,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12489919,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12489919,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs2673513,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated"
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs2673513,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated"
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9822486,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9822486,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9822486,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9822486,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9822486,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9822486,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9838038,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9838038,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9838038,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9838038,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9838038,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9838038,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9855717,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9855717,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9855717,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9855717,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9855717,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9855717,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs1621132,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs13069223,"Type 2 diabetes, combined control dataset"
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs13069223,"Type 2 diabetes, combined control dataset"
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9868641,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9868641,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9868641,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9868641,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs9868641,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs17029476,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs17029476,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs1405829,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs1405829,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs1405829,Type 2 diabetes
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs13069223,"Type 2 diabetes, combined control dataset"
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs13069223,"Type 2 diabetes, combined control dataset"
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs9868641,Type 2 diabetes
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs9868641,Type 2 diabetes
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs9868641,Type 2 diabetes
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs9868641,Type 2 diabetes
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs9868641,Type 2 diabetes
LSLNC017108,NONHSAG035459,NONHSAT090556,3,rs6792260,"Type 2 diabetes, combined control dataset"
LSLNC017108,NONHSAG035459,NONHSAT090556,3,rs6792260,"Type 2 diabetes, combined control dataset"
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs17063484,Type 2 diabetes
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs2252742,Type 2 diabetes
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs2252742,Type 2 diabetes
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs1898748,Type 2 diabetes
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs1898748,Type 2 diabetes
LSLNC018895,NONHSAG038940,NONHSAT098453,4,rs10033117,Type 2 diabetes with obesity
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs10790822,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs10790822,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs7933188,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs7933188,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs10790835,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs10790835,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs1540252,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs1540252,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs620875,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs620875,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs620875,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs620875,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs646236,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs646236,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs488054,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs488054,Type 2 diabetes
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs488054,Type 2 diabetes
LSLNC027029,NONHSAG009997,NONHSAT025030,11,rs10790822,Type 2 diabetes
LSLNC027029,NONHSAG009997,NONHSAT025030,11,rs10790822,Type 2 diabetes
LSLNC027029,NONHSAG009997,NONHSAT025030,11,rs7933188,Type 2 diabetes
LSLNC027029,NONHSAG009997,NONHSAT025030,11,rs7933188,Type 2 diabetes
LSLNC027029,NONHSAG009997,NONHSAT025030,11,rs10790835,Type 2 diabetes
