SNPID,Position,Disease/Trait name,P value,PMID,Chr
rs10012946,6293350,Type 2 diabetes,0.0001,23209189,4
rs10012946,6293350,Type 2 diabetes,0.0005549999999999999,23300278,4
rs10033117,140082553,Type 2 diabetes with obesity,2.4e-05,17460697,4
rs10202934,25359254,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,7.53e-05,21150874,2
rs10213366,181997755,Type 2 diabetes,0.000539,17463246,4
rs10440833,20688121,Type 2 diabetes,2.8000000000000006e-05,21874001,6
rs10440833,20688121,Type 2 diabetes with obesity,8.120000000000001e-05,20581827,6
rs10456499,41083352,Type 2 diabetes with obesity,1.8e-05,17460697,6
rs10483614,53151428,Waist hip ratio in Type 2 diabetes,0.000193,17463246,14
rs10483957,82830219,Type 2 diabetes with obesity,4.2e-05,17460697,14
rs10488542,93114364,Type 2 diabetes,0.000396,22158537,7
rs10488542,93114364,Type 2 diabetes,0.000505,22158537,7
rs10502752,38733962,Type 2 diabetes,0.000319,22158537,18
rs10502860,42799809,Type 2 diabetes without obesity,2.8000000000000006e-05,17460697,18
rs10519169,48665026,Weight in Type 2 diabetes,0.000991,17463246,15
rs10519169,48665026,Type 2 diabetes,0.000991,17463246,15
rs10760452,129478908,Type 2 diabetes,0.000128,17554300,9
rs10783807,57266313,Type 2 diabetes,0.000513,17463246,12
rs10787760,118890693,Type 2 diabetes with obesity,1.7e-05,17460697,10
rs10798895,30086662,Type 2 diabetes without obesity,3.3e-05,17460697,1
rs10871777,57851763,Type 2 diabetes,0.00014,22158537,18
rs10871777,57851763,Type 2 diabetes,0.000257,22158537,18
rs10911755,185526043,Type 2 diabetes,0.000389,17463246,1
rs10923931,120517959,Type 2 diabetes,1.3e-05,22885922,1
rs10923931,120517959,Type 2 diabetes,6.52e-05,20581827,1
rs10923931,120517959,Type 2 diabetes in lean individuals (BMI<25 Kg/m2),7e-05,22693455,1
rs10923931,120517959,Type 2 diabetes without obesity,0.00034,20581827,1
rs10923931,120517959,Type 2 diabetes,0.0004,23209189,1
rs10938397,45182527,Type 2 diabetes,6.6e-05,19079261,4
rs10938397,45182527,Type 2 diabetes,0.00039,20935630,4
rs10946398,20661034,Type 2 diabetes,3e-05,19056611,6
rs10946398,20661034,Obesity in type 2 diabetes (body mass index (BMI)),4e-05,19056611,6
rs10946398,20661034,Type 2 diabetes,4.07e-05,22456796,6
rs11157928,53151190,Waist hip ratio in Type 2 diabetes,4.4299999999999986e-05,17463246,14
rs11586588,185533305,Type 2 diabetes,0.000221,17463246,1
rs11634397,80432222,Type 2 diabetes,1.4e-05,24509480,15
rs11634397,80432222,Type 2 diabetes,1.8e-05,22885922,15
rs11634397,80432222,Type 2 diabetes without obesity,0.0005099999999999999,20581827,15
rs11644596,24389861,Type 2 diabetes with obesity,3.2e-05,17460697,16
rs11749727,179608360,Type 2 diabetes,0.00026000000000000003,23209189,5
rs11899863,43618819,Type 2 diabetes,1.04e-05,20581827,2
rs11899863,43618819,Type 2 diabetes without obesity,8.420000000000001e-05,20581827,2
rs11927775,130147914,"Type 2 diabetes, combined control dataset",0.00024,17554300,3
rs12121433,82554831,Diabetic retinopathy in Type 2 diabetes mellitus,2.6600000000000006e-05,23562823,1
rs12123666,82510001,Diabetic retinopathy in Type 2 diabetes mellitus,5.44e-05,23562823,1
rs12124983,11286178,Type 2 diabetes,0.000811,17463246,1
rs12134655,82517839,Diabetic retinopathy in Type 2 diabetes mellitus,5.88e-05,23562823,1
rs12143409,82469320,Diabetic retinopathy in Type 2 diabetes mellitus,9.96e-05,23562823,1
rs12233670,38787216,"Type 2 diabetes, combined control dataset, gender differentiated",0.000376,17554300,4
rs12279647,4853334,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",5.260000000000001e-05,17554300,11
rs12434373,22856949,Type 2 diabetes,0.000231,22158537,14
