LncRNAID,Gene alias,Transcript alias,Chr,SNPID,Disease/Trait name
LSLNC000432,NONHSAG001765,NONHSAT003809,1,rs17130402,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis"
LSLNC000432,NONHSAG001765,NONHSAT003809,1,rs17130402,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis"
LSLNC000433,NONHSAG001765,NONHSAT003810,1,rs17130402,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis"
LSLNC000433,NONHSAG001765,NONHSAT003810,1,rs17130402,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis"
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001175,NONHSAG027247,NONHSAT069626,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001177,NONHSAG027247,NONHSAT069628,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001177,NONHSAG027247,NONHSAT069628,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001177,NONHSAG027247,NONHSAT069628,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001177,NONHSAG027247,NONHSAT069628,2,rs12466350,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
