LncRNAID,Gene alias,Transcript alias,Chr,SNPID,Disease/Trait name
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes without obesity
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes without obesity
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes without obesity
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes without obesity
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes without obesity
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes without obesity
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes without obesity
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes without obesity
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
LSLNC003370,NONHSAG040784,NONHSAT102261,5,rs4457053,Type 2 diabetes
