LncRNAID,Gene alias,Transcript alias,Chr,SNPID,Disease/Trait name
LSLNC001774,NONHSAG029357,NONHSAT074567,2,rs10198552,Obesity-related traits
LSLNC001853,NONHSAG029841,NONHSAT075527,2,rs2028382,Obesity with early age of onset (age >2)
LSLNC001853,NONHSAG029841,NONHSAT075527,2,rs11685001,Obesity with early age of onset (age >2)
LSLNC001853,NONHSAG029841,NONHSAT075527,2,rs6707969,Obesity with early age of onset (age >2)
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs11742689,Obesity (body mass index (BMI))
LSLNC003502,NONHSAG041270,NONHSAT103281,5,rs400028,Obesity-related traits
LSLNC005234,NONHSAG050809,NONHSAT127836,8,rs1909881,Obesity-related traits
LSLNC005467,NONHSAG050809,NONHSAT147653,8,rs1909881,Obesity-related traits
LSLNC007311,NONHSAG010913,NONHSAT027727,12,rs10467147,Obesity-related traits
LSLNC007795,NONHSAG013019,NONHSAT032514,13,rs200523290,Obesity-related traits
LSLNC007895,NONHSAG013524,NONHSAT033843,13,rs1239954,Obesity-related traits
LSLNC007896,NONHSAG013524,NONHSAT033846,13,rs1239954,Obesity-related traits
LSLNC007965,NONHSAG013824,NONHSAT034430,13,rs12720132,Obesity with early age of onset (age >2)
LSLNC008044,NONHSAG013090,NONHSAT140113,13,rs9319401,Obesity with early age of onset (age >2)
LSLNC009976,NONHSAG022007,NONHSAT054176,17,rs1880753,Obesity (body mass index (BMI))
LSLNC009978,NONHSAG022007,NONHSAT054178,17,rs1880753,Obesity (body mass index (BMI))
LSLNC012821,NONHSAG001605,NONHSAT003479,1,rs764742,Obesity (body mass index (BMI))
LSLNC014343,NONHSAG004797,NONHSAT010513,1,rs7544372,Obesity-related traits
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs4953246,Obesity (body mass index (BMI))
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs867286,Obesity (body mass index (BMI))
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs884399,Obesity (body mass index (BMI))
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs884401,Obesity (body mass index (BMI))
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs4953262,Obesity with early age of onset (age >2)
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs4953246,Obesity (body mass index (BMI))
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs867286,Obesity (body mass index (BMI))
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs884399,Obesity (body mass index (BMI))
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs884401,Obesity (body mass index (BMI))
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs4953262,Obesity with early age of onset (age >2)
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs17009299,Obesity with early age of onset (age >2)
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs7610132,Obesity with early age of onset (age >2)
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs17009327,Obesity with early age of onset (age >2)
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12489570,Obesity (body mass index (BMI))
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs7642008,Obesity (body mass index (BMI))
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12487974,Obesity (body mass index (BMI))
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs1585863,Obesity (body mass index (BMI))
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs2291818,Obesity (body mass index (BMI))
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs6765798,Obesity (body mass index (BMI))
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs7619247,Obesity (body mass index (BMI))
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs12638192,Obesity (body mass index (BMI))
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs12489570,Obesity (body mass index (BMI))
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs7642008,Obesity (body mass index (BMI))
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs12487974,Obesity (body mass index (BMI))
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs1585863,Obesity (body mass index (BMI))
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs2291818,Obesity (body mass index (BMI))
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs6765798,Obesity (body mass index (BMI))
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs7619247,Obesity (body mass index (BMI))
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs12638192,Obesity (body mass index (BMI))
LSLNC017108,NONHSAG035459,NONHSAT090556,3,rs3913574,Obesity (body mass index (BMI))
LSLNC017108,NONHSAG035459,NONHSAT090556,3,rs11127548,Obesity (body mass index (BMI))
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs1447958,Obesity with early age of onset (age >2)
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs1447960,Obesity with early age of onset (age >2)
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs2594259,Obesity with early age of onset (age >2)
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs17637930,Obesity with early age of onset (age >2)
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs1880218,Obesity with early age of onset (age >2)
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs9843007,Obesity with early age of onset (age >2)
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs11130833,Obesity with early age of onset (age >2)
