LSLNC000077	NONHSAG000275	NONHSAT000724	1	rs10462020	Type 2 diabetes
LSLNC000205	NONHSAG000889	NONHSAT002083	1	rs947643	Type 2 diabetes
LSLNC000208	NONHSAG000910	NONHSAT002111	1	rs4949455	Type 2 diabetes
LSLNC000209	NONHSAG000911	NONHSAT002112	1	rs4949455	Type 2 diabetes
LSLNC000210	NONHSAG000911	NONHSAT002113	1	rs4949455	Type 2 diabetes
LSLNC000211	NONHSAG000911	NONHSAT002114	1	rs4949455	Type 2 diabetes
LSLNC000212	NONHSAG000911	NONHSAT002115	1	rs4949455	Type 2 diabetes
LSLNC000213	NONHSAG000911	NONHSAT002116	1	rs4949455	Type 2 diabetes
LSLNC000214	NONHSAG000911	NONHSAT002117	1	rs4949455	Type 2 diabetes
LSLNC000215	NONHSAG000911	NONHSAT002118	1	rs4949455	Type 2 diabetes
LSLNC000282	NONHSAG001121	NONHSAT002587	1	rs2293476	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000296	NONHSAG001198	NONHSAT002716	1	rs10493102	Type 2 diabetes
LSLNC000304	NONHSAG001221	NONHSAT002769	1	rs2367159	Type 2 diabetes
LSLNC000304	NONHSAG001221	NONHSAT002769	1	rs841839	Type 2 diabetes
LSLNC000305	NONHSAG001221	NONHSAT002770	1	rs2367159	Type 2 diabetes
LSLNC000305	NONHSAG001221	NONHSAT002770	1	rs841839	Type 2 diabetes
LSLNC000306	NONHSAG001221	NONHSAT002771	1	rs2367159	Type 2 diabetes
LSLNC000306	NONHSAG001221	NONHSAT002771	1	rs841839	Type 2 diabetes
LSLNC000332	NONHSAG001416	NONHSAT003141	1	rs11205596	Type 2 diabetes
LSLNC000368	NONHSAG001509	NONHSAT003310	1	rs1288489	Type 2 diabetes
LSLNC000409	NONHSAG001609	NONHSAT003501	1	rs3121907	Type 2 diabetes
LSLNC000421	NONHSAG001712	NONHSAT003703	1	rs10489902	Type 2 diabetes
LSLNC000432	NONHSAG001765	NONHSAT003809	1	rs17130402	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC000433	NONHSAG001765	NONHSAT003810	1	rs17130402	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC000434	NONHSAG001765	NONHSAT003812	1	rs17130402	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC000448	NONHSAG001814	NONHSAT003886	1	rs12405821	Type 2 diabetes
LSLNC000457	NONHSAG001814	NONHSAT003899	1	rs12405821	Type 2 diabetes
LSLNC000458	NONHSAG001814	NONHSAT003900	1	rs12405821	Type 2 diabetes
LSLNC000459	NONHSAG001814	NONHSAT003901	1	rs12405821	Type 2 diabetes
LSLNC000460	NONHSAG001814	NONHSAT003902	1	rs12405821	Type 2 diabetes
LSLNC000461	NONHSAG001814	NONHSAT003903	1	rs12405821	Type 2 diabetes
LSLNC000462	NONHSAG001814	NONHSAT003904	1	rs12405821	Type 2 diabetes
LSLNC000487	NONHSAG001983	NONHSAT004271	1	rs772598	Type 2 diabetes
LSLNC000487	NONHSAG001983	NONHSAT004271	1	rs772598	Height in Type 2 diabetes cases
LSLNC000487	NONHSAG001983	NONHSAT004271	1	rs11161871	Type 2 diabetes
LSLNC000487	NONHSAG001983	NONHSAT004271	1	rs11161871	Height in Type 2 diabetes cases
LSLNC000492	NONHSAG002006	NONHSAT004327	1	rs6698181	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs2296558	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs6541401	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs6541404	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs9432681	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs1000607	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs4000699	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs4240966	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs6680107	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs9432453	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs2031226	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs2391254	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs6703310	Type 2 diabetes
LSLNC000508	NONHSAG002086	NONHSAT004491	1	rs942196	Type 2 diabetes
LSLNC000509	NONHSAG002086	NONHSAT004492	1	rs2296558	Type 2 diabetes
LSLNC000509	NONHSAG002086	NONHSAT004492	1	rs6541401	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs2296558	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs6541401	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs6541404	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs9432681	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs1000607	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs4000699	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs4240966	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs6680107	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs9432453	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs2031226	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs2391254	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs6703310	Type 2 diabetes
LSLNC000510	NONHSAG002086	NONHSAT004493	1	rs942196	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs2296558	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs6541401	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs6541404	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs9432681	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs1000607	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs4000699	Type 2 diabetes
