"SNPID","Position","Disease/Trait name","P value","PMID","Chr"
"rs10001262","13393883","Obesity (body mass index (BMI))","1.81e-4","21935397","4"
"rs10002808","90258402","Obesity (body mass index (BMI))","8.74e-4","21935397","4"
"rs1000301","89029284","Obesity (body mass index (BMI))","8.39e-4","21935397","15"
"rs10003771","11069107","Obesity with early age of onset (age >2)","8.34e-4","22484627","4"
"rs10003958","13370308","Obesity (body mass index (BMI))","1.65e-4","21935397","4"
"rs10004195","38784724","Obesity with early age of onset (age >2)","2.39e-4","22484627","4"
"rs10004263","11069610","Obesity with early age of onset (age >2)","8.26e-4","22484627","4"
"rs10008032","38745482","Extreme obesity with early age of onset","3.58e-6","18159244","4"
"rs10008492","38765720","Obesity with early age of onset (age >2)","3.82e-4","22484627","4"
"rs10009866","134059925","Obesity with early age of onset (age >2)","3.73e-4","22484627","4"
"rs10012946","6293350","Extreme obesity with early age of onset","3.96e-6","23563609","4"
"rs10012946","6293350","Obesity (early onset extreme)","4.11e-5","23563609","4"
"rs10012953","110964362","Obesity-related traits","3.00e-6","23251661","4"
"rs10013279","41543764","Obesity with early age of onset (age >2)","7.64e-4","22484627","4"
"rs10016671","13359047","Obesity (body mass index (BMI))","1.63e-4","21935397","4"
"rs10018902","121862501","Obesity-related traits","1.00e-6","23251661","4"
"rs10019897","13330095","Obesity (body mass index (BMI))","1.77e-4","21935397","4"
"rs1002158","23538843","Obesity (body mass index (BMI))","6.80e-6","21935397","2"
"rs1002158","23538843","Obesity (extreme)","6.83e-6","21935397","2"
"rs1002159","23538632","Obesity (body mass index (BMI))","9.43e-5","21935397","2"
"rs10021881","13350973","Obesity (body mass index (BMI))","1.67e-4","21935397","4"
"rs10022185","120571765","Obesity (body mass index (BMI))","7.16e-4","21935397","4"
"rs10022847","13391088","Obesity (body mass index (BMI))","1.73e-4","21935397","4"
"rs10024216","38764112","Obesity with early age of onset (age >2)","3.84e-4","22484627","4"
"rs10025981","136719143","Obesity with early age of onset (age >2)","9.46e-4","22484627","4"
"rs10026639","133961722","Obesity with early age of onset (age >2)","1.33e-4","22484627","4"
"rs10031623","13369324","Obesity (body mass index (BMI))","1.65e-4","21935397","4"
"rs10031877","134012728","Obesity with early age of onset (age >2)","1.34e-4","22484627","4"
"rs10031880","113510585","Obesity (body mass index (BMI))","3.74e-4","21935397","4"
"rs10033117","140082553","Type 2 diabetes with obesity","2.40e-5","17460697","4"
"rs10033464","111720761","Obesity with early age of onset (age >2)","7.51e-4","22484627","4"
"rs10034263","107501341","Obesity (body mass index (BMI))","8.69e-4","21935397","4"
"rs10034452","13530824","Obesity (body mass index (BMI))","2.18e-4","21935397","4"
"rs10036506","164248941","Obesity with early age of onset (age >2)","4.78e-4","22484627","5"
"rs10037047","88219964","Obesity with early age of onset (age >2)","1.40e-4","22484627","5"
"rs10039217","175178875","Obesity-related traits","3.00e-7","23251661","5"
"rs10041426","122750221","Obesity with early age of onset (age >2)","1.50e-4","22484627","5"
"rs10042828","88308777","Obesity with early age of onset (age >2)","5.84e-4","22484627","5"
"rs1004368","168641970","Obesity-related traits","2.00e-6","23251661","2"
"rs10044242","148706299","Obesity-related traits","9.00e-6","23251661","5"
"rs1004467","104594507","Obesity with early age of onset (age >2)","7.05e-4","22484627","10"
"rs1004573","101178235","Obesity with early age of onset (age >2)","3.56e-4","22484627","14"
"rs1004574","101178067","Obesity with early age of onset (age >2)","3.52e-4","22484627","14"
"rs1004589","186006307","Obesity with early age of onset (age >2)","8.70e-4","22484627","3"
"rs10046456","151125251","Obesity-related traits","2.00e-6","23251661","6"
"rs10046456","151125251","Obesity-related traits","3.00e-6","23251661","6"
"rs10047878","22787690","Obesity (body mass index (BMI))","2.56e-6","21935397","14"
"rs10051787","122732236","Obesity with early age of onset (age >2)","1.57e-4","22484627","5"
"rs10053995","122705321","Obesity with early age of onset (age >2)","1.29e-4","22484627","5"
"rs10056163","68245290","Obesity with early age of onset (age >2)","1.51e-4","22484627","5"
"rs1005919","129513663","Obesity (body mass index (BMI))","5.49e-4","21935397","9"
"rs10059749","138036255","Obesity with early age of onset (age >2)","8.27e-4","22484627","5"
"rs10059760","90440102","Obesity (body mass index (BMI))","9.63e-4","21935397","5"
"rs10061683","122696882","Obesity with early age of onset (age >2)","1.22e-4","22484627","5"
"rs10063661","68243972","Obesity with early age of onset (age >2)","3.73e-4","22484627","5"
"rs10065591","122698389","Obesity with early age of onset (age >2)","1.14e-4","22484627","5"
"rs10065634","122698367","Obesity with early age of onset (age >2)","1.03e-4","22484627","5"
"rs10065813","152940405","Obesity-related traits","8.00e-6","23251661","5"
