LncRNAID,Gene alias,Transcript alias,Chr,SNPID,Disease/Trait name
LSLNC003249,NONHSAG040178,NONHSAT101013,5,rs6451212,Type 2 diabetes
LSLNC014670,NONHSAG027649,NONHSAT070469,2,rs6743119,Type 2 diabetes
LSLNC014673,NONHSAG027649,NONHSAT070473,2,rs6743119,Type 2 diabetes
LSLNC016650,NONHSAG034593,NONHSAT088647,3,rs11919688,Type 2 diabetes
LSLNC016651,NONHSAG034593,NONHSAT088650,3,rs13069223,"Type 2 diabetes, combined control dataset"
LSLNC017108,NONHSAG035459,NONHSAT090556,3,rs6792260,"Type 2 diabetes, combined control dataset"
LSLNC017614,NONHSAG035295,NONHSAT090160,3,rs17063484,Type 2 diabetes
LSLNC018895,NONHSAG038940,NONHSAT098453,4,rs10033117,Type 2 diabetes with obesity
LSLNC027028,NONHSAG009997,NONHSAT025029,11,rs10790822,Type 2 diabetes
LSLNC027029,NONHSAG009997,NONHSAT025030,11,rs10790822,Type 2 diabetes
LSLNC028088,NONHSAG011683,NONHSAT029456,12,rs12321257,Type 2 diabetes
LSLNC028598,NONHSAG012632,NONHSAT031628,12,rs4765127,Type 2 diabetes
LSLNC028600,NONHSAG012632,NONHSAT031630,12,rs4765127,Type 2 diabetes
LSLNC029825,NONHSAG015674,NONHSAT039185,14,rs10150928,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated"
LSLNC030551,NONHSAG017079,NONHSAT044228,15,rs10519058,Type 2 diabetes
LSLNC030552,NONHSAG017079,NONHSAT044229,15,rs16943012,Type 2 diabetes
LSLNC031265,NONHSAG018484,NONHSAT140358,16,rs2052234,"Type 2 diabetes, combined control dataset"
LSLNC036771,NONHSAG032748,NONHSAT081899,21,rs2242888,Type 2 diabetes
LSLNC040198,NONHSAG027025,NONHSAT069207,2,rs4477888,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC040369,NONHSAG027840,NONHSAT070861,2,rs17049584,Type 2 diabetes
LSLNC040370,NONHSAG027840,NONHSAT070862,2,rs17049584,Type 2 diabetes
LSLNC042480,NONHSAG034656,NONHSAT088794,3,rs17651822,Type 2 diabetes
LSLNC049966,NONHSAG050375,NONHSAT126946,8,rs6472122,Type 2 diabetes
LSLNC054397,NONHSAG011721,NONHSAT029536,12,rs11180647,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC066160,NONHSAG009190,NONHSAT023299,11,rs621543,Type 2 diabetes
LSLNC066273,NONHSAG011494,NONHSAT029069,12,rs11174296,Type 2 diabetes
LSLNC072422,,hsaLB_IO_44313,6,rs763753,Type 2 diabetes
LSLNC073271,,hsaLB_IO_57598,9,rs17056015,Type 2 diabetes
LSLNC073649,,hsaLB_IO_66271,11,rs7929434,Type 2 diabetes
LSLNC075347,,hsaLB_IO_87350,15,rs10519058,Type 2 diabetes
LSLNC084132,,hsaLB_PT_18578,2,rs1517707,"Type 2 diabetes, combined control dataset, gender differentiated"
LSLNC084283,,hsaLB_PT_21729,3,rs365392,Type 2 diabetes early age of onset
LSLNC085312,,hsaLB_PT_3930,1,rs11206964,Type 2 diabetes
LSLNC085591,,hsaLB_PT_4403,1,rs17091759,Diabetic retinopathy in Type 2 diabetes mellitus
LSLNC086011,,hsaLB_PT_50938,8,rs10503197,Type 2 diabetes
LSLNC086732,,hsaLB_PT_61058,10,rs7893529,Type 2 diabetes
LSLNC086733,,hsaLB_PT_61059,10,rs621314,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC093187,,hsaLB_IO_25584,3,rs6439887,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated"
LSLNC093727,,hsaLB_IO_33671,5,rs6450876,Body mass index (BMI) in Type 2 diabetes
LSLNC096119,,hsaLB_IO_70361,11,rs17132819,"Type 2 diabetes, combined control dataset, gender differentiated"
LSLNC096966,,hsaLB_IO_78657,13,rs17082600,"Type 2 diabetes, combined control dataset"
LSLNC097545,,hsaLB_IO_87684,15,rs10518714,Type 2 diabetes
LSLNC098309,,hsaLB_IO_94531,16,rs7185386,Type 2 diabetes
LSLNC100376,,hsaLB_LI_44345,6,rs1885732,Type 2 diabetes
LSLNC105015,,hsaLB_PT_100038,17,rs12949781,Body mass index (BMI) in Type 2 diabetes
LSLNC106668,,hsaLB_PT_13639,2,rs6743119,Type 2 diabetes
LSLNC106923,,hsaLB_PT_18084,2,rs11681687,Type 2 diabetes
LSLNC106924,,hsaLB_PT_18086,2,rs11681687,Type 2 diabetes
LSLNC107841,,hsaLB_PT_32158,4,rs17307783,Type 2 diabetes
LSLNC108583,,hsaLB_PT_45481,7,rs11773573,"Type 2 diabetes, gender differentiated"
LSLNC111882,,hsaLB_PT_94367,16,rs8044888,"Type 2 diabetes, combined control dataset"
LSLNC111892,,hsaLB_PT_94535,16,rs8056019,Type 2 diabetes
LSLNC112236,,hsaLB_PT_99321,17,rs2435211,Type 2 diabetes
