LncRNAID,Gene alias,Transcript alias,Chr,SNPID,Disease/Trait name
LSLNC000393,NONHSAG001606,NONHSAT003484,1,rs852807,Parkinson's disease
LSLNC000393,NONHSAG001606,NONHSAT003484,1,rs852807,Parkinson's disease (PD)
LSLNC000395,NONHSAG001606,NONHSAT003486,1,rs852807,Parkinson's disease
LSLNC000395,NONHSAG001606,NONHSAT003486,1,rs852807,Parkinson's disease (PD)
LSLNC000396,NONHSAG001606,NONHSAT003488,1,rs722187,Parkinson's disease (PD)
LSLNC000396,NONHSAG001606,NONHSAT003488,1,rs722187,Parkinson's disease
LSLNC000396,NONHSAG001606,NONHSAT003488,1,rs852807,Parkinson's disease
LSLNC000396,NONHSAG001606,NONHSAT003488,1,rs852807,Parkinson's disease (PD)
LSLNC000397,NONHSAG001606,NONHSAT003489,1,rs722187,Parkinson's disease (PD)
LSLNC000397,NONHSAG001606,NONHSAT003489,1,rs722187,Parkinson's disease
LSLNC000397,NONHSAG001606,NONHSAT003489,1,rs852807,Parkinson's disease
LSLNC000397,NONHSAG001606,NONHSAT003489,1,rs852807,Parkinson's disease (PD)
LSLNC000398,NONHSAG001606,NONHSAT003490,1,rs722187,Parkinson's disease (PD)
LSLNC000398,NONHSAG001606,NONHSAT003490,1,rs722187,Parkinson's disease
LSLNC000398,NONHSAG001606,NONHSAT003490,1,rs852807,Parkinson's disease
LSLNC000398,NONHSAG001606,NONHSAT003490,1,rs852807,Parkinson's disease (PD)
LSLNC000399,NONHSAG001606,NONHSAT003491,1,rs722187,Parkinson's disease (PD)
LSLNC000399,NONHSAG001606,NONHSAT003491,1,rs722187,Parkinson's disease
LSLNC000399,NONHSAG001606,NONHSAT003491,1,rs852807,Parkinson's disease
LSLNC000399,NONHSAG001606,NONHSAT003491,1,rs852807,Parkinson's disease (PD)
LSLNC000400,NONHSAG001606,NONHSAT003492,1,rs722187,Parkinson's disease (PD)
LSLNC000400,NONHSAG001606,NONHSAT003492,1,rs722187,Parkinson's disease
LSLNC000400,NONHSAG001606,NONHSAT003492,1,rs852807,Parkinson's disease
LSLNC000400,NONHSAG001606,NONHSAT003492,1,rs852807,Parkinson's disease (PD)
LSLNC000401,NONHSAG001606,NONHSAT003493,1,rs722187,Parkinson's disease (PD)
LSLNC000401,NONHSAG001606,NONHSAT003493,1,rs722187,Parkinson's disease
LSLNC000401,NONHSAG001606,NONHSAT003493,1,rs852807,Parkinson's disease
LSLNC000401,NONHSAG001606,NONHSAT003493,1,rs852807,Parkinson's disease (PD)
LSLNC000402,NONHSAG001606,NONHSAT003494,1,rs722187,Parkinson's disease (PD)
LSLNC000402,NONHSAG001606,NONHSAT003494,1,rs722187,Parkinson's disease
LSLNC000402,NONHSAG001606,NONHSAT003494,1,rs852807,Parkinson's disease
LSLNC000402,NONHSAG001606,NONHSAT003494,1,rs852807,Parkinson's disease (PD)
LSLNC000403,NONHSAG001606,NONHSAT003495,1,rs852807,Parkinson's disease
LSLNC000403,NONHSAG001606,NONHSAT003495,1,rs852807,Parkinson's disease (PD)
LSLNC000404,NONHSAG001606,NONHSAT003496,1,rs852807,Parkinson's disease
LSLNC000404,NONHSAG001606,NONHSAT003496,1,rs852807,Parkinson's disease (PD)
LSLNC000405,NONHSAG001606,NONHSAT003497,1,rs722187,Parkinson's disease (PD)
LSLNC000405,NONHSAG001606,NONHSAT003497,1,rs722187,Parkinson's disease
LSLNC000405,NONHSAG001606,NONHSAT003497,1,rs852807,Parkinson's disease
LSLNC000405,NONHSAG001606,NONHSAT003497,1,rs852807,Parkinson's disease (PD)
LSLNC000406,NONHSAG001606,NONHSAT003498,1,rs722187,Parkinson's disease (PD)
LSLNC000406,NONHSAG001606,NONHSAT003498,1,rs722187,Parkinson's disease
LSLNC000406,NONHSAG001606,NONHSAT003498,1,rs852807,Parkinson's disease
LSLNC000406,NONHSAG001606,NONHSAT003498,1,rs852807,Parkinson's disease (PD)
LSLNC000421,NONHSAG001712,NONHSAT003703,1,rs3884549,Parkinson's disease
LSLNC000421,NONHSAG001712,NONHSAT003703,1,rs4915657,Parkinson's disease
LSLNC000421,NONHSAG001712,NONHSAT003703,1,rs4915658,Parkinson's disease
LSLNC000421,NONHSAG001712,NONHSAT003703,1,rs6676128,Parkinson's disease
LSLNC000491,NONHSAG002006,NONHSAT004326,1,rs306298,Parkinson's disease (PD) (age of onset)
LSLNC000492,NONHSAG002006,NONHSAT004327,1,rs306298,Parkinson's disease (PD) (age of onset)
LSLNC000609,NONHSAG002520,NONHSAT005405,1,rs7535090,Parkinson's disease
LSLNC000788,NONHSAG003181,NONHSAT007002,1,rs10908710,Parkinson's disease (PD)
LSLNC000788,NONHSAG003181,NONHSAT007002,1,rs10908710,Parkinson's disease
LSLNC000974,NONHSAG004065,NONHSAT009020,1,rs823128,Parkinson's disease
